organization_id,organization_name,organization_type,program_id,program_name,program_offering_id,program_offering_title,activity_taxonomy_path,audience_type,program_format,competition_level,season_label,season_year,start_date,end_date,registration_open_date,registration_close_date,registration_status,registration_url,registration_provider,min_age,max_age,min_grade,max_grade,eligibility_rules_json,schedule_json,pricing_json,location_json,source_id,source_url,source_authority,verification_status,lifecycle_status,last_checked_at,notes
org-us-vt-bristol-recreation,Bristol Recreation,municipal_recreation,prog-bristol-recreation-community-basketball,Community Basketball,offer-bristol-recreation-community-basketball,Community Basketball,Sports > Team Sports > Basketball,all_ages,drop_in,,,,,,,,unknown,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,,,,,[],{},[],"{""city"":""Bristol"",""state"":""VT"",""country"":""US""}",VT-MUNI-BRISTOL-MYREC,https://bristolvt.myrec.com/info/activities/default.aspx,primary,web_verified_2026-09-03,unknown,2026-09-03,
org-us-vt-bristol-recreation,Bristol Recreation,municipal_recreation,prog-bristol-recreation-community-volleyball,Community Volleyball,offer-bristol-recreation-community-volleyball,Community Volleyball,Sports > Team Sports > Volleyball,all_ages,drop_in,,,,,,,,unknown,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,,,,,[],{},[],"{""city"":""Bristol"",""state"":""VT"",""country"":""US""}",VT-MUNI-BRISTOL-MYREC,https://bristolvt.myrec.com/info/activities/default.aspx,primary,web_verified_2026-09-03,unknown,2026-09-03,
org-us-vt-bristol-recreation,Bristol Recreation,municipal_recreation,prog-bristol-recreation-youth-field-hockey,Youth Field Hockey,offer-bristol-recreation-fall-field-hockey,Fall Field Hockey,Sports > Team Sports > Field Hockey,youth,,,fall,2026,,,,,unknown,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,,,,,[],{},[],"{""city"":""Bristol"",""state"":""VT"",""country"":""US""}",VT-MUNI-BRISTOL-MYREC,https://bristolvt.myrec.com/info/activities/default.aspx,primary,web_verified_2026-09-03,unknown,2026-09-03,
org-us-vt-bristol-recreation,Bristol Recreation,municipal_recreation,prog-bristol-recreation-gymnastics,Gymnastics,offer-bristol-recreation-gymnastics-for-middle-and-high-school-students,Gymnastics for Middle and High School Students,Sports > Individual Sports > Gymnastics,youth,,,,,,,,,unknown,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,,,,,[],{},[],"{""city"":""Bristol"",""state"":""VT"",""country"":""US""}",VT-MUNI-BRISTOL-MYREC,https://bristolvt.myrec.com/info/activities/default.aspx,primary,web_verified_2026-09-03,unknown,2026-09-03,
org-us-vt-bristol-recreation,Bristol Recreation,municipal_recreation,prog-bristol-recreation-gymnastics,Gymnastics,offer-bristol-recreation-gymnastics-with-lindsey-session-4,"Gymnastics with Lindsey, Session 4",Sports > Individual Sports > Gymnastics,youth,,,,,,,,,unknown,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,,,,,[],{},[],"{""city"":""Bristol"",""state"":""VT"",""country"":""US""}",VT-MUNI-BRISTOL-MYREC,https://bristolvt.myrec.com/info/activities/default.aspx,primary,web_verified_2026-09-03,unknown,2026-09-03,
org-us-vt-bristol-recreation,Bristol Recreation,municipal_recreation,prog-bristol-recreation-mountain-bike-camp,Mountain Bike Camp,offer-bristol-recreation-mountain-bike-camps-2026,Mountain Bike Camps 2026,Camps > Sports Camps > Mountain Biking,youth,,,summer,2026,,,,,unknown,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,,,,,[],{},[],"{""city"":""Bristol"",""state"":""VT"",""country"":""US""}",VT-MUNI-BRISTOL-MYREC,https://bristolvt.myrec.com/info/activities/default.aspx,primary,web_verified_2026-09-03,unknown,2026-09-03,
org-us-vt-bristol-recreation,Bristol Recreation,municipal_recreation,prog-bristol-recreation-sports-camp,Sports Camp,offer-bristol-recreation-river-sports-camp,River/Sports Camp,Camps > Sports Camps,youth,,,summer,2026,,,,,unknown,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,,,,,[],{},[],"{""city"":""Bristol"",""state"":""VT"",""country"":""US""}",VT-MUNI-BRISTOL-MYREC,https://bristolvt.myrec.com/info/activities/default.aspx,primary,web_verified_2026-09-03,unknown,2026-09-03,
org-us-vt-bristol-recreation,Bristol Recreation,municipal_recreation,prog-bristol-recreation-youth-basketball,Youth Basketball,offer-bristol-recreation-youth-basketball-2025-2026,Youth Basketball 2025/2026,Sports > Team Sports > Basketball,youth,,,winter,2025-2026,,,,,unknown,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,,,,,[],{},[],"{""city"":""Bristol"",""state"":""VT"",""country"":""US""}",VT-MUNI-BRISTOL-MYREC,https://bristolvt.myrec.com/info/activities/default.aspx,primary,web_verified_2026-09-03,unknown,2026-09-03,
org-us-vt-bristol-recreation,Bristol Recreation,municipal_recreation,prog-bristol-recreation-youth-lacrosse,Youth Lacrosse,offer-bristol-recreation-youth-lacrosse-2026,Youth Lacrosse 2026,Sports > Team Sports > Lacrosse,youth,,,,2026,,,,,unknown,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,,,,,[],{},[],"{""city"":""Bristol"",""state"":""VT"",""country"":""US""}",VT-MUNI-BRISTOL-MYREC,https://bristolvt.myrec.com/info/activities/default.aspx,primary,web_verified_2026-09-03,unknown,2026-09-03,
org-us-vt-burlington-parks-recreation-waterfront,"Burlington Parks, Recreation & Waterfront",municipal_recreation,prog-burlington-parks-recreation-waterfront-youth-basketball,Youth Basketball,offer-burlington-parks-recreation-waterfront-youth-basketball-league,Youth Basketball League,Sports > Team Sports > Basketball,youth,league,,,,,,,,unknown,https://www.burlingtonvt.gov/1086/Sports,CivicRec,,,,,[],{},[],"{""city"":""Burlington"",""state"":""VT"",""country"":""US""}",VT-MUNI-BURLINGTON-CIVICREC,https://www.burlingtonvt.gov/1086/Sports,primary,web_verified_2026-09-03,unknown,2026-09-03,
