source_id,organization,organization_type,town,state,coverage,source_url,platform,source_type,ingestion_priority,crawler_adapter,data_structure,sports_scope,crawl_frequency,human_review_required,notes
VT-MUNI-WATERBURY-MYREC,Waterbury Recreation,municipal_recreation,Waterbury,VT,Municipal youth recreation and sports,https://waterburyvt.myrec.com/info/activities/default.aspx,MyRec,program_catalog,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,Good reference implementation for MyRec activity/program detail extraction.
VT-MUNI-WILLISTON-MYREC,Williston Recreation & Parks,municipal_recreation,Williston,VT,Municipal youth recreation and sports,https://willistonvt.myrec.com/info/default.aspx,MyRec,organization_portal,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-HARTFORD-MYREC,Hartford Parks & Recreation,municipal_recreation,Hartford,VT,Municipal youth recreation and sports,https://hartfordvt.myrec.com/info/activities/default.aspx,MyRec,program_catalog,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,Useful multi-sport catalog for validating activity taxonomy.
VT-MUNI-NORWICH-MYREC,Norwich Recreation,municipal_recreation,Norwich,VT,Municipal youth recreation and sports,https://norwichvt.myrec.com/info/activities/default.aspx,MyRec,program_catalog,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-BRISTOL-MYREC,Bristol Recreation,municipal_recreation,Bristol,VT,Municipal youth recreation and sports,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,program_catalog,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-STALBANS-MYREC,St. Albans Recreation,municipal_recreation,St. Albans,VT,Municipal youth recreation and sports,https://stalbansvt.myrec.com/info/default.aspx,MyRec,organization_portal,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-RANDOLPH-MYREC,Randolph Recreation,municipal_recreation,Randolph,VT,Municipal youth recreation and sports,https://randolphvt.myrec.com/info/default.aspx,MyRec,organization_portal,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-HIGHGATE-MYREC,Highgate Parks & Recreation,municipal_recreation,Highgate,VT,Municipal youth recreation and sports,https://highgatevt.myrec.com/info/default.aspx,MyRec,organization_portal,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-VERGENNES-MYREC,Vergennes Parks & Recreation,municipal_recreation,Vergennes,VT,Municipal youth recreation and sports,https://vergennesvt.myrec.com/info/default.aspx,MyRec,organization_portal,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-HARTLAND-MYREC,Hartland Recreation,municipal_recreation,Hartland,VT,Municipal youth recreation and sports,https://hartlandvt.myrec.com/info/default.aspx,MyRec,organization_portal,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-CHARLOTTE-MYREC,Charlotte Recreation,municipal_recreation,Charlotte,VT,Municipal youth recreation and sports,https://charlottevt.myrec.com/info/default.aspx,MyRec,organization_portal,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-SWANTON-MYREC,Swanton Recreation,municipal_recreation,Swanton,VT,Municipal youth recreation and sports,https://swantonvt.myrec.com/info/default.aspx,MyRec,organization_portal,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-WOODSTOCK-MYREC,Woodstock Recreation Center,municipal_recreation,Woodstock,VT,Municipal youth recreation and sports,https://woodstockvt.myrec.com/info/default.aspx,MyRec,organization_portal,P0,myrec,highly_structured,multi-sport,daily_in_registration_window; weekly_offseason,false,
VT-MUNI-BURLINGTON-CIVICREC,"Burlington Parks, Recreation & Waterfront",municipal_recreation,Burlington,VT,Municipal youth sports and recreation,https://www.burlingtonvt.gov/1086/Sports,CivicRec,sports_landing_page,P0,civicrec,semi_structured,multi-sport,daily_in_registration_window; weekly_offseason,true,"Use municipal page for discovery, CivicRec endpoints/catalog for structured program extraction."
VT-MUNI-MONTPELIER-WEBTRAC,Montpelier Recreation,municipal_recreation,Montpelier,VT,Municipal youth recreation and sports,https://www.montpelier-vt.org/838/Montpelier-Recreation,WebTrac/RecTrac,organization_portal,P0,webtrac,structured_js,multi-sport,daily_in_registration_window; weekly_offseason,true,High-value launch geography for OpenPlay.
VT-MUNI-ESSEX-GENERIC,Essex Parks & Recreation,municipal_recreation,Essex,VT,Municipal youth recreation,https://www.essexvt.gov/632/Youth-Recreation,Municipal Website,youth_recreation_page,P0,generic_html,semi_structured,multi-sport,weekly; daily when changed,true,
VT-MUNI-SOUTHBURLINGTON-CIVICREC,South Burlington Recreation & Parks,municipal_recreation,South Burlington,VT,Municipal youth recreation and sports,https://southburlingtonvt.gov/457/FAQs,CivicRec,municipal_page,P1,civicrec,semi_structured,multi-sport,weekly; daily in registration window,true,Use page for platform discovery; prefer CivicRec catalog URLs when identified.
VT-MUNI-COLCHESTER-GENERIC,Colchester Parks & Recreation,municipal_recreation,Colchester,VT,Municipal youth recreation and sports,https://www.colchestervt.gov/333/Parks-Recreation,Municipal Website,organization_portal,P1,generic_html,semi_structured,multi-sport,weekly; daily when changed,true,
