organization_id,organization_name,organization_aliases,organization_type,governing_body,council_or_district,town,state,country_code,activity_scope,audience_scope,source_id,source_url,source_type,platform,authoritative_level,verification_status,current_2026_27_status,notes
org-us-vt-new-england-nordic-ski-association,New England Nordic Ski Association,,regional_association,NENSA,New England,,VT,US,Sports > Winter Sports > Nordic Skiing,youth;junior;adult;masters,src-new-england-nordic-ski-association-association-directory,https://nensa.net/nensa-club-directory/,association_directory,Custom Website,primary,web_verified_2026-09-04,active_2026_27,Discovery/governing source for Vermont Nordic clubs; use member clubs as primary sources for local registration.
org-us-vt-vermont-alpine-racing-association,Vermont Alpine Racing Association,,state_association,VARA,Vermont,Woodstock,VT,US,Sports > Winter Sports > Alpine Skiing,youth;junior;adult,src-vermont-alpine-racing-association-association-directory,https://www.vara.org/,association_directory,Custom Website,primary,web_verified_2026-09-04,active_2026_27_membership_open,VARA 2027 membership registration opened June 1; late fee applies after October 15.
org-us-vt-chittenden-nordic-ski-club,Chittenden Nordic Ski Club,,club,NENSA,Vermont,Chittenden,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth,BKL/Youth,src-chittenden-nordic-ski-club-organization-site,https://nensa.net/nensa-club-directory/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-craftsbury-ski-club,Craftsbury Ski Club,,club,NENSA,Vermont,Craftsbury Common,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth;Junior;Masters,youth;junior;adult,src-craftsbury-ski-club-organization-site,https://www.craftsbury.com/winter-ski-programs,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-frost-mountain-nordic,Frost Mountain Nordic,,club,NENSA,Vermont,Middlebury / Ripton,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth;Junior,youth;junior,src-frost-mountain-nordic-organization-site,https://www.frostmountainnordic.org/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-green-mountain-valley-school,Green Mountain Valley School,,club,NENSA,Vermont,Waitsfield,VT,US,Sports > Winter Sports > Nordic Skiing; Nordic;Alpine;School,youth;junior,src-green-mountain-valley-school-organization-site,https://www.gmvs.org/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-mansfield-nordic-club,Mansfield Nordic Club,,club,NENSA,Vermont,Jericho / Underhill,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth;Junior;Masters,youth;junior;adult,src-mansfield-nordic-club-organization-site,https://www.mansfieldnordic.org/join-mnc-2/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_2026_27_details_published,
org-us-vt-marlboro-nordic-ski-club,Marlboro Nordic Ski Club,,club,NENSA,Vermont,Marlboro,VT,US,Sports > Winter Sports > Nordic Skiing; BKL/Youth,youth,src-marlboro-nordic-ski-club-organization-site,https://marlboronordicskiclub.org/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-middlebury-college-ski-team,Middlebury College Ski Team,,club,NENSA,Vermont,Middlebury,VT,US,Sports > Winter Sports > Nordic Skiing; College/EISA,college,src-middlebury-college-ski-team-organization-site,https://nensa.net/nensa-club-directory/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
org-us-vt-northwest-vermont-endurance,Northwest Vermont Endurance,,club,NENSA,Vermont,St. Albans,VT,US,Sports > Winter Sports > Nordic Skiing; Masters,adult,src-northwest-vermont-endurance-organization-site,https://nensa.net/nensa-club-directory/,organization_site,Custom Website,primary,web_verified_2026-09-04,active_member_current_details_partial_or_pending,
